#TFM v1.0.8 by tritical
field = bottom
crc32 = b3979677
1201 p - [10]
1202 p - [43]
1203 c - [7]
1204 c - [10]
1205 c - [65]
1206 p - [13]
1207 p - [26]
1208 c - [23]
1209 c - [15]
1210 c - [26]
1211 p - [30]
1212 p - [18]
1213 l + [96]
1214 c - [17]
1215 c - [41]
1216 p - [21]
1217 p - [17]
1218 c - [77]
1219 c - [19]
1220 c - [37]
1221 p - [23]
1222 p - [12]
1223 p - [22]
1224 c - [42]
1225 c - [23]
1226 p + [96]
1227 p - [17]
1228 c - [14]
1229 c - [31]
1230 c - [19]
1231 p - [15]
1232 p - [17]
1233 c - [13]
1234 c - [25]
1235 c - [23]
1236 p - [21]
1237 p - [24]
1238 c - [23]
1239 c - [22]
1240 c - [25]
1241 p - [11]
1242 p - [8]
1243 c - [16]
1244 l + [96]
1245 c - [4]
1246 p - [41]
1247 p - [23]
1248 c - [8]
1249 c - [34]
1250 c - [29]
1251 p - [14]
1252 p - [30]
1253 c - [7]
1254 c - [29]
1255 c - [35]
1256 p - [21]
1257 p - [10]
1258 c - [7]
1259 c - [25]
1260 c - [6]
1261 p - [20]
1262 p - [33]
1263 c - [28]
1264 c - [12]
1265 c - [14]
1266 p - [17]
1267 p - [8]
1268 c - [45]
1269 c - [9]
1270 c - [16]
1271 p - [20]
1272 p - [16]
1273 c - [11]
1274 c - [10]
1275 c - [15]
1276 p - [18]
1277 p - [10]
1278 c - [12]
1279 c - [23]
1280 c - [19]
1281 p - [27]
1282 p - [21]
1283 c - [9]
1284 c - [14]
1285 c - [19]
1286 p - [11]
1287 p - [21]
1288 c - [12]
1289 l + [85]
1290 c - [28]
1291 p - [19]
1292 p - [14]
1293 c - [12]
1294 c - [17]
1295 c - [19]
1296 p - [43]
1297 p - [56]
1298 c - [11]
1299 c - [25]
1300 c - [30]
1301 p - [24]
1302 p - [80]
1303 c - [28]
1304 c - [13]
1305 c - [17]
1306 p - [20]
1307 p - [20]
1308 c - [73]
1309 c - [24]
1310 c - [17]
1311 p - [25]
1312 p - [12]
1313 c - [23]
1314 c - [6]
1315 c - [19]
1316 p - [14]
1317 p - [34]
1318 c - [17]
1319 c - [18]
1320 c - [18]
1321 p - [22]
1322 p - [15]
1323 c - [24]
1324 c - [28]
1325 c - [14]
1326 p - [51]
1327 p - [12]
1328 c - [25]
1329 c - [14]
1330 c - [24]
1331 p - [20]
1332 p - [35]
1333 l + [84]
1334 c - [17]
1335 c - [16]
1336 p - [17]
1337 p - [15]
1338 p - [9]
1339 c - [35]
1340 c - [9]
1341 p - [37]
1342 p - [22]
1343 c - [9]
1344 c - [15]
1345 c - [10]
1346 p - [5]
1347 p - [14]
1348 c - [22]
1349 c - [12]
1350 c - [27]
1351 p - [41]
1352 p - [17]
1353 c - [11]
1354 c - [37]
1355 c - [64]
1356 p - [35]
1357 p - [31]
1358 c - [14]
1359 c - [5]
1360 c - [9]
1361 p - [16]
1362 p - [29]
1363 c - [20]
1364 c - [9]
1365 c - [4]
1366 p - [11]
1367 p - [16]
1368 c - [23]
1369 c - [11]
1370 c - [67]
1371 p - [28]
1372 p - [13]
1373 c - [20]
1374 c - [23]
1375 c - [22]
1376 p - [18]
1377 p - [12]
1378 c - [14]
1379 c - [27]
1380 c - [20]
1381 p - [24]
1382 p - [20]
1383 c - [15]
1384 c - [33]
1385 c - [29]
1386 p - [19]
1387 p - [28]
1388 c - [18]
1389 c - [17]
1390 c - [58]
1391 p - [40]
1392 p - [26]
1393 c - [28]
1394 c - [13]
1395 c - [17]
1396 p - [37]
1397 p - [46]
1398 c - [15]
1399 c - [25]
1400 c - [14]
1401 p - [27]
1402 p - [12]
1403 c - [24]
1404 c - [9]
1405 l + [84]
1406 p - [48]
1407 p - [80]
1408 c - [12]
1409 c - [20]
1410 c - [22]
1411 p - [23]
1412 p - [15]
1413 c - [20]
1414 c - [27]
1415 c - [20]
1416 p - [19]
1417 p - [28]
1418 c - [5]
1419 c - [28]
1420 c - [6]
1421 p - [14]
1422 p - [17]
1423 c - [29]
1424 c - [27]
1425 c - [29]
1426 p - [14]
1427 p - [18]
1428 c - [13]
1429 c - [27]
1430 c - [17]
1431 p - [22]
1432 p - [25]
1433 c - [22]
1434 c - [16]
1435 c - [29]
1436 p - [43]
1437 p - [15]
1438 c - [28]
1439 l + [96]
1440 c - [21]
1441 p - [21]
1442 p - [17]
1443 c - [7]
1444 c - [45]
1445 c - [21]
1446 p - [38]
1447 p - [23]
1448 c - [28]
1449 c - [22]
1450 c - [45]
1451 p - [24]
1452 p + [83]
1453 c - [27]
1454 c - [10]
1455 c - [30]
1456 p - [31]
1457 p - [17]
1458 c - [11]
1459 c - [28]
1460 c - [44]
1461 p - [21]
1462 p - [19]
1463 c - [28]
1464 c - [26]
1465 c - [49]
1466 p - [29]
1467 p - [28]
1468 c - [16]
1469 c - [18]
1470 c - [26]
1471 p - [17]
1472 p - [26]
1473 c - [19]
1474 c - [16]
1475 c - [12]
1476 p + [96]
1477 p + [95]
1478 c - [25]
1479 c - [39]
1480 c - [19]
1481 p + [92]
1482 p - [35]
1483 c - [25]
1484 c - [61]
1485 c - [25]
1486 p - [30]
1487 p + [83]
1488 c - [17]
1489 c - [65]
1490 c - [15]
1491 p - [26]
1492 p - [15]
1493 c - [15]
1494 c - [22]
1495 l + [87]
1496 p - [24]
1497 p - [22]
1498 c - [32]
1499 c - [18]
1500 c - [15]
1501 p - [31]
1502 p + [101]
1503 l + [96]
1504 c - [18]
1505 c - [20]
1506 p - [34]
1507 p - [22]
1508 c - [14]
1509 c - [11]
1510 c - [13]
1511 p - [24]
1512 p - [30]
1513 c - [36]
1514 l + [83]
1515 c - [36]
1516 p - [26]
1517 p - [47]
1518 c - [17]
1519 c - [15]
1520 c - [11]
1521 p - [25]
1522 p - [28]
1523 c - [15]
1524 c - [16]
1525 c - [42]
1526 p + [94]
1527 p + [90]
1528 c - [16]
1529 c - [25]
1530 c - [21]
1531 p + [84]
1532 p - [80]
1533 c - [20]
1534 c - [11]
1535 c - [17]
1536 p - [27]
1537 p - [26]
1538 c - [43]
1539 l + [83]
1540 c - [26]
1541 p - [25]
1542 p - [23]
1543 c - [12]
1544 c - [14]
1545 c - [12]
1546 p - [25]
1547 p - [19]
1548 c - [15]
1549 c - [12]
